total_gpu_cap,gpu_count,per_gpu_cap,model,throughput_images_per_sec,status
400,1,400,vgg16,26699.11,ok
500,1,500,vgg16,27541.38,ok
600,1,600,vgg16,27769.82,ok
700,1,700,vgg16,27272.20,ok
800,1,700,vgg16,27582.22,ok
900,1,700,vgg16,27109.32,ok
1000,1,700,vgg16,27413.37,ok
1100,1,700,vgg16,27799.88,ok
1200,1,700,vgg16,27319.14,ok
1300,1,700,vgg16,27244.95,ok
1400,1,700,vgg16,27109.12,ok
1500,1,700,vgg16,27058.41,ok
1600,1,700,vgg16,27072.01,ok
1700,1,700,vgg16,27180.82,ok
2800,1,700,vgg16,28046.17,ok
400,2,200,vgg16,24650.91,ok
500,2,250,vgg16,26301.35,ok
600,2,300,vgg16,26480.42,ok
700,2,350,vgg16,26646.41,ok
800,2,400,vgg16,25665.71,ok
900,2,450,vgg16,25602.15,ok
1000,2,500,vgg16,25632.50,ok
1100,2,550,vgg16,26062.69,ok
1200,2,600,vgg16,25779.28,ok
1300,2,650,vgg16,26007.07,ok
1400,2,700,vgg16,26420.53,ok
1500,2,700,vgg16,25817.79,ok
1600,2,700,vgg16,25837.01,ok
1700,2,700,vgg16,25573.09,ok
2800,2,700,vgg16,26145.28,ok
600,3,200,vgg16,26692.69,ok
700,3,233,vgg16,25916.24,ok
800,3,266,vgg16,26194.29,ok
900,3,300,vgg16,26520.15,ok
1000,3,333,vgg16,26660.42,ok
1100,3,366,vgg16,26257.95,ok
1200,3,400,vgg16,26766.29,ok
1300,3,433,vgg16,26196.83,ok
1400,3,466,vgg16,26827.37,ok
1500,3,500,vgg16,26076.72,ok
1600,3,533,vgg16,26747.41,ok
1700,3,566,vgg16,26621.76,ok
2800,3,700,vgg16,26614.54,ok
800,4,200,vgg16,26275.00,ok
900,4,225,vgg16,26708.82,ok
1000,4,250,vgg16,25125.97,ok
1100,4,275,vgg16,26480.34,ok
1200,4,300,vgg16,26861.33,ok
1300,4,325,vgg16,25977.44,ok
1400,4,350,vgg16,25945.24,ok
1500,4,375,vgg16,25923.28,ok
1600,4,400,vgg16,26068.60,ok
1700,4,425,vgg16,26107.90,ok
2800,4,700,vgg16,27005.07,ok
