total_gpu_cap,gpu_count,per_gpu_cap,benchmark,throughput_tokens_per_sec,status
2800,1,700,bert,4445.66,failed
2800,2,700,bert,8519.69,failed
2800,3,700,bert,7795.90,failed
2800,4,700,bert,12322.08,failed
