Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W)
0.20010900497436523,540.0,0.0,0.0,0.0,0.0,132
1.0137875080108643,345.0,0.0,0.0,0.0,0.0,82
1.824418306350708,345.0,0.0,0.0,0.0,0.0,81
2.9946141242980957,345.0,0.0,0.0,0.0,0.0,81
4.580358266830444,345.0,0.0,0.0,0.0,0.0,80
5.391282081604004,1980.0,0.0,0.0,0.0,0.0,122
6.201450347900391,1980.0,0.376,0.0,0.073,0.0,441
7.011630535125732,1980.0,0.329,0.0,0.063,0.0,496
7.821913242340088,1980.0,0.067,0.0,0.014,0.0,362
8.6329026222229,1980.0,0.336,0.0,0.071,0.0,396
9.443080186843872,1980.0,0.342,0.0,0.063,0.0,494
10.254567623138428,1980.0,0.302,0.0,0.062,0.0,395
11.068655729293823,1980.0,0.204,0.0,0.042,0.0,318
11.879347085952759,1980.0,0.342,0.0,0.064,0.0,498
12.689195156097412,1980.0,0.277,0.0,0.057,0.0,469
13.499918699264526,1980.0,0.072,0.0,0.014,0.0,263
