Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W)
0.20010948181152344,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,70,360.0,0.0,0.0,0.0,0.0,69
1.0142011642456055,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,69
1.8266117572784424,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,69
2.640103816986084,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
3.4548285007476807,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
4.266990661621094,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
5.077163457870483,345.0,0.0,0.0,0.0,0.0,80,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
7.055673837661743,840.0,0.0,0.0,0.0,0.0,83,840.0,0.0,0.0,0.0,0.0,72,345.0,0.0,0.0,0.0,0.0,68
8.727062463760376,345.0,0.0,0.0,0.0,0.0,82,1980.0,0.0,0.0,0.0,0.0,72,345.0,0.0,0.0,0.0,0.0,68
9.562149047851562,1980.0,0.0,0.0,0.0,0.0,126,1980.0,0.0,0.0,0.0,0.0,104,1980.0,0.0,0.0,0.0,0.0,97
10.373972415924072,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
11.18514347076416,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
11.996052742004395,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
12.807467460632324,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
13.617740631103516,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
14.42860460281372,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
16.526960372924805,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,110
17.341914176940918,1620.0,0.11,0.0,0.12,0.0,230,1665.0,0.111,0.0,0.123,0.0,206,1875.0,0.055,0.0,0.054,0.0,201
18.152957916259766,1950.0,0.239,0.0,0.323,0.0,317,1965.0,0.228,0.0,0.284,0.0,314,1965.0,0.25,0.0,0.256,0.0,316
18.965160369873047,1200.0,0.23,0.0,0.331,0.0,323,1380.0,0.226,0.0,0.3,0.0,321,1425.0,0.252,0.0,0.267,0.0,323
19.7773540019989,1455.0,0.234,0.0,0.325,0.0,320,1875.0,0.234,0.0,0.294,0.0,318,1800.0,0.237,0.0,0.274,0.0,321
20.58744239807129,1530.0,0.216,0.0,0.335,0.0,330,1680.0,0.212,0.0,0.295,0.0,333,1815.0,0.211,0.0,0.291,0.0,330
21.398067474365234,1500.0,0.194,0.0,0.231,0.0,325,1785.0,0.186,0.0,0.202,0.0,324,1860.0,0.158,0.0,0.195,0.0,326
22.209004878997803,1440.0,0.243,0.0,0.325,0.0,332,1500.0,0.248,0.0,0.282,0.0,337,1545.0,0.25,0.0,0.261,0.0,334
23.018961906433105,1320.0,0.237,0.0,0.33,0.0,325,1500.0,0.245,0.0,0.276,0.0,326,1470.0,0.226,0.0,0.276,0.0,325
23.828587532043457,1410.0,0.235,0.0,0.328,0.0,328,1650.0,0.225,0.0,0.296,0.0,328,1575.0,0.25,0.0,0.281,0.0,329
24.63809585571289,1485.0,0.253,0.0,0.316,0.0,333,1695.0,0.249,0.0,0.3,0.0,330,1650.0,0.244,0.0,0.289,0.0,333
25.448149919509888,1575.0,0.158,0.0,0.19,0.0,327,1650.0,0.157,0.0,0.183,0.0,323,1830.0,0.152,0.0,0.169,0.0,324
26.259335041046143,1470.0,0.219,0.0,0.338,0.0,332,1575.0,0.216,0.0,0.279,0.0,331,1485.0,0.222,0.0,0.277,0.0,335
27.069599390029907,1335.0,0.253,0.0,0.313,0.0,329,1410.0,0.25,0.0,0.271,0.0,333,1470.0,0.255,0.0,0.26,0.0,332
27.87949800491333,1380.0,0.253,0.0,0.32,0.0,330,1485.0,0.256,0.0,0.286,0.0,330,1815.0,0.228,0.0,0.301,0.0,330
28.688974380493164,1575.0,0.229,0.0,0.337,0.0,331,1785.0,0.226,0.0,0.314,0.0,329,1605.0,0.221,0.0,0.321,0.0,329
29.499919891357422,1980.0,0.053,0.0,0.053,0.0,249,1980.0,0.052,0.0,0.049,0.0,233,1980.0,0.045,0.0,0.028,0.0,221
30.510331869125366,1980.0,0.0,0.0,0.0,0.0,146,1980.0,0.0,0.0,0.0,0.0,118,1980.0,0.0,0.0,0.0,0.0,115
