Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W)
0.20010042190551758,345.0,0.0,0.0,0.0,0.0,82,345.0,0.0,0.0,0.0,0.0,70,360.0,0.0,0.0,0.0,0.0,69
1.8438844680786133,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
2.850217342376709,345.0,0.0,0.0,0.0,0.0,80,810.0,0.0,0.0,0.0,0.0,73,345.0,0.0,0.0,0.0,0.0,68
4.24501895904541,1590.0,0.394,0.0,0.0,0.015,206,1800.0,0.585,0.0,0.0,0.021,189,1830.0,0.318,0.0,0.0,0.011,181
5.055803537368774,1425.0,0.668,0.0,0.0,0.033,364,1365.0,0.65,0.0,0.0,0.028,369,1200.0,0.666,0.0,0.0,0.025,370
5.8660569190979,1350.0,0.676,0.0,0.0,0.032,361,1335.0,0.676,0.0,0.0,0.026,361,1350.0,0.676,0.0,0.0,0.026,359
6.677364826202393,1425.0,0.674,0.0,0.0,0.032,367,1470.0,0.674,0.0,0.0,0.028,363,1620.0,0.674,0.0,0.0,0.028,364
7.487656593322754,1470.0,0.664,0.0,0.0,0.033,364,1845.0,0.668,0.0,0.0,0.031,363,1755.0,0.664,0.0,0.0,0.03,364
8.29842758178711,1455.0,0.642,0.0,0.0,0.038,363,1575.0,0.642,0.0,0.0,0.032,369,1665.0,0.642,0.0,0.0,0.03,362
9.108644247055054,1395.0,0.666,0.0,0.0,0.034,374,1620.0,0.665,0.0,0.0,0.032,366,1740.0,0.663,0.0,0.0,0.031,365
9.918794393539429,1380.0,0.674,0.0,0.0,0.033,372,1425.0,0.674,0.0,0.0,0.029,366,1500.0,0.671,0.0,0.0,0.029,363
10.729504585266113,1350.0,0.674,0.0,0.0,0.033,368,1425.0,0.674,0.0,0.0,0.029,365,1605.0,0.674,0.0,0.0,0.028,364
11.540022373199463,1350.0,0.672,0.0,0.0,0.034,366,1455.0,0.673,0.0,0.0,0.031,364,1695.0,0.672,0.0,0.0,0.028,363
12.350311756134033,1440.0,0.667,0.0,0.0,0.035,357,1650.0,0.668,0.0,0.0,0.031,365,1665.0,0.667,0.0,0.0,0.031,362
13.160497188568115,1410.0,0.667,0.0,0.0,0.034,363,1590.0,0.666,0.0,0.0,0.032,366,1515.0,0.666,0.0,0.0,0.031,365
13.970739364624023,1335.0,0.67,0.0,0.0,0.034,356,1515.0,0.669,0.0,0.0,0.032,363,1500.0,0.669,0.0,0.0,0.031,363
14.78093957901001,1305.0,0.673,0.0,0.0,0.034,355,1440.0,0.672,0.0,0.0,0.031,363,1680.0,0.672,0.0,0.0,0.029,362
15.591127634048462,1425.0,0.672,0.0,0.0,0.034,357,1485.0,0.672,0.0,0.0,0.031,364,1470.0,0.672,0.0,0.0,0.03,364
16.401108980178833,1395.0,0.668,0.0,0.0,0.035,360,1560.0,0.669,0.0,0.0,0.031,363,1560.0,0.668,0.0,0.0,0.03,364
17.211280822753906,1365.0,0.67,0.0,0.0,0.034,366,1530.0,0.669,0.0,0.0,0.032,364,1710.0,0.669,0.0,0.0,0.03,363
18.02139663696289,1365.0,0.67,0.0,0.0,0.034,359,1500.0,0.668,0.0,0.0,0.032,366,1545.0,0.669,0.0,0.0,0.031,364
18.83246946334839,1365.0,0.671,0.0,0.0,0.034,358,1470.0,0.671,0.0,0.0,0.032,365,1410.0,0.671,0.0,0.0,0.031,363
19.6426100730896,1965.0,0.671,0.0,0.0,0.034,316,1965.0,0.672,0.0,0.0,0.031,318,1965.0,0.672,0.0,0.0,0.03,319
20.45449948310852,1980.0,0.006,0.0,0.0,0.0,148,1980.0,0.0,0.0,0.0,0.0,125,1980.0,0.0,0.0,0.0,0.0,123
21.284362077713013,1980.0,0.0,0.0,0.0,0.0,147,1980.0,0.0,0.0,0.0,0.0,119,1980.0,0.0,0.0,0.0,0.0,115
22.09473991394043,390.0,0.0,0.0,0.0,0.0,97,360.0,0.0,0.0,0.0,0.0,91,435.0,0.0,0.0,0.0,0.0,92
