power_cap,gpu_count,target,target_kind,avg_power_active,avg_sm_active,avg_dram_active,avg_power_x_gpu,avg_sm_x_gpu,avg_dram_x_gpu
400,1,9775.75,throughput,373.4166666666667,1758.75,0.21958333333333332,373.4166666666667,1758.75,0.21958333333333332
400,2,5897.93,throughput,178.59090909090907,1430.4545454545455,0.0829090909090909,357.18181818181813,2860.909090909091,0.1658181818181818
500,1,10411.83,throughput,470.61538461538464,1970.7692307692307,0.2383076923076923,470.61538461538464,1970.7692307692307,0.2383076923076923
500,2,6641.72,throughput,124.5,547.5,0.0015,249.0,1095.0,0.003
600,1,10426.82,throughput,148.0,1980.0,0.002,148.0,1980.0,0.002
600,2,6946.34,throughput,253.73076923076923,1863.4615384615386,0.11965384615384617,507.46153846153845,3726.923076923077,0.23930769230769233
600,3,5814.88,throughput,116.75,1192.5,0.00075,350.25,3577.5,0.0022500000000000003
700,1,10403.32,throughput,486.2307692307692,1980.0,0.2507692307692308,486.2307692307692,1980.0,0.2507692307692308
700,2,6999.97,throughput,270.9230769230769,1964.423076923077,0.12176923076923077,541.8461538461538,3928.846153846154,0.24353846153846154
700,3,6471.97,throughput,108.5,517.5,0.001,325.5,1552.5,0.003
800,2,6993.72,throughput,250.13636363636363,1905.681818181818,0.09531818181818182,500.27272727272725,3811.363636363636,0.19063636363636363
800,3,6844.7,throughput,231.0,1757.3076923076924,0.10765384615384616,693.0,5271.923076923077,0.32296153846153847
800,4,4081.94,throughput,115.25,858.75,0.00075,461.0,3435.0,0.003
900,2,7095.5,throughput,109.0,510.0,0.0015,218.0,1020.0,0.003
900,3,7006.44,throughput,253.8076923076923,1882.5,0.1213846153846154,761.4230769230769,5647.5,0.36415384615384616
900,4,4087.52,throughput,173.05,1780.875,0.046150000000000004,692.2,7123.5,0.18460000000000001
1000,2,7034.65,throughput,278.03846153846155,1980.0,0.12161538461538463,556.0769230769231,3960.0,0.24323076923076925
1000,3,6990.48,throughput,115.75,1196.25,0.001,347.25,3588.75,0.003
1000,4,4017.39,throughput,184.1730769230769,1934.423076923077,0.04655769230769231,736.6923076923076,7737.692307692308,0.18623076923076923
1200,2,7015.47,throughput,251.27272727272725,1905.681818181818,0.09695454545454546,502.5454545454545,3811.363636363636,0.19390909090909092
1200,3,6999.51,throughput,268.0769230769231,1980.0,0.10780769230769231,804.2307692307693,5940.0,0.3234230769230769
1200,4,4131.75,throughput,177.87500000000003,1853.25,0.04375,711.5000000000001,7413.0,0.175
1400,2,7032.81,throughput,116.5,1275.0,0.0015,233.0,2550.0,0.003
1400,3,7029.72,throughput,277.88461538461536,1980.0,0.12176923076923077,833.6538461538461,5940.0,0.36530769230769233
1400,4,4204.85,throughput,192.5,1979.7115384615386,0.04984615384615386,770.0,7918.846153846154,0.19938461538461544
1600,3,7079.92,throughput,253.8181818181818,1905.681818181818,0.09718181818181817,761.4545454545455,5717.045454545454,0.29154545454545455
1600,4,4225.19,throughput,123.5,1661.25,0.001,494.0,6645.0,0.004
1800,3,7010.45,throughput,140.5,1275.0,0.0015,421.5,3825.0,0.0045000000000000005
1800,4,4240.41,throughput,181.3,1857.375,0.046024999999999996,725.2,7429.5,0.18409999999999999
