Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W)
0.20017266273498535,1530.0,0.0,0.0,0.0,0.0,77,135.0,0.0,0.0,0.0,0.0,41
1.1394915580749512,1530.0,0.0,0.0,0.0,0.0,75,135.0,0.0,0.0,0.0,0.0,41
2.0747435092926025,1530.0,0.0,0.0,0.0,0.0,77,135.0,0.0,0.0,0.0,0.0,41
3.0164146423339844,1530.0,0.0,0.0,0.0,0.0,75,135.0,0.0,0.0,0.0,0.0,41
3.9514291286468506,1530.0,0.0,0.0,0.0,0.0,76,135.0,0.0,0.0,0.0,0.0,41
4.89264988899231,1530.0,0.0,0.0,0.0,0.0,75,135.0,0.0,0.0,0.0,0.0,41
5.82640528678894,1530.0,0.0,0.0,0.0,0.0,76,135.0,0.0,0.0,0.0,0.0,41
6.764500856399536,1530.0,0.0,0.0,0.0,0.0,75,135.0,0.0,0.0,0.0,0.0,41
7.69690728187561,1530.0,0.0,0.0,0.0,0.0,76,135.0,0.0,0.0,0.0,0.0,41
8.637056589126587,1530.0,0.0,0.0,0.0,0.0,75,135.0,0.0,0.0,0.0,0.0,41
9.57016921043396,1530.0,0.0,0.0,0.0,0.0,76,135.0,0.0,0.0,0.0,0.0,41
10.521823167800903,1530.0,0.007,0.0,0.0,0.0,76,1290.0,0.007,0.0,0.0,0.0,58
11.456303834915161,1425.0,0.182,0.0,0.0,0.0,140,1485.0,0.0,0.0,0.0,0.0,93
12.399256229400635,1335.0,0.542,0.0,0.0,0.0,321,1327.0,0.426,0.0,0.0,0.0,280
13.343283414840698,1410.0,0.275,0.0,0.0,0.0,282,1462.0,0.299,0.0,0.0,0.0,274
14.282144546508789,1342.0,0.511,0.0,0.0,0.0,311,1380.0,0.444,0.0,0.0,0.0,325
15.222302913665771,1395.0,0.336,0.0,0.0,0.0,268,1462.0,0.311,0.0,0.0,0.0,262
16.15538787841797,1365.0,0.623,0.0,0.0,0.0,305,1402.0,0.42,0.0,0.0,0.0,317
17.095263957977295,1290.0,0.349,0.0,0.0,0.0,233,1327.0,0.293,0.0,0.0,0.0,226
18.043749809265137,1410.0,0.297,0.0,0.0,0.0,295,1470.0,0.249,0.0,0.0,0.0,289
18.988069534301758,1410.0,0.269,0.0,0.0,0.0,277,1455.0,0.316,0.0,0.0,0.0,277
19.929201126098633,1410.0,0.299,0.0,0.0,0.0,304,1470.0,0.264,0.0,0.0,0.0,286
20.868180990219116,1350.0,0.313,0.0,0.0,0.0,251,1387.0,0.303,0.0,0.0,0.0,230
21.800752639770508,1432.0,0.325,0.0,0.0,0.0,294,1492.0,0.337,0.0,0.0,0.0,297
22.74777340888977,1342.0,0.09,0.0,0.0,0.0,326,1297.0,0.081,0.0,0.0,0.0,310
23.68852138519287,1432.0,0.274,0.0,0.0,0.0,262,1485.0,0.251,0.0,0.0,0.0,272
24.626218795776367,1342.0,0.394,0.0,0.0,0.0,299,1372.0,0.201,0.0,0.0,0.0,312
25.57337212562561,1425.0,0.292,0.0,0.0,0.0,268,1477.0,0.291,0.0,0.0,0.0,276
26.511553287506104,1312.0,0.509,0.0,0.0,0.0,292,1312.0,0.405,0.0,0.0,0.0,264
27.475685834884644,1417.0,0.28,0.0,0.0,0.0,274,1447.0,0.279,0.0,0.0,0.0,272
28.413846731185913,1522.0,0.0,0.0,0.0,0.0,78,1522.0,0.0,0.0,0.0,0.0,72
29.356196880340576,1522.0,0.089,0.0,0.0,0.0,81,1530.0,0.089,0.0,0.0,0.0,76
