total_gpu_cap,gpu_count,per_gpu_cap,benchmark,throughput_tokens_per_sec,status
400,1,400,gpt2,38001.70,ok
500,1,500,gpt2,42824.58,ok
600,1,600,gpt2,45406.44,ok
700,1,700,gpt2,46426.18,ok
800,1,700,gpt2,46192.50,ok
900,1,700,gpt2,46457.75,ok
1000,1,700,gpt2,46444.94,ok
1100,1,700,gpt2,46370.44,ok
1200,1,700,gpt2,46401.62,ok
1300,1,700,gpt2,46392.38,ok
1400,1,700,gpt2,46419.84,ok
1500,1,700,gpt2,46396.44,ok
1600,1,700,gpt2,46391.76,ok
1700,1,700,gpt2,46439.76,ok
2800,1,700,gpt2,46405.71,ok
400,2,200,gpt2,35936.17,ok
500,2,250,gpt2,52135.92,ok
600,2,300,gpt2,63066.03,ok
700,2,350,gpt2,68943.66,ok
800,2,400,gpt2,74308.97,ok
900,2,450,gpt2,79632.85,ok
1000,2,500,gpt2,82227.40,ok
1100,2,550,gpt2,85364.57,ok
1200,2,600,gpt2,87466.55,ok
1300,2,650,gpt2,88703.91,ok
1400,2,700,gpt2,89123.39,ok
1500,2,700,gpt2,88789.26,ok
1600,2,700,gpt2,89054.51,ok
1700,2,700,gpt2,89565.37,ok
2800,2,700,gpt2,89401.13,ok
600,3,200,gpt2,50449.09,ok
700,3,233,gpt2,67409.17,ok
800,3,266,gpt2,78915.50,ok
900,3,300,gpt2,92533.78,ok
1000,3,333,gpt2,97618.11,ok
1100,3,366,gpt2,102234.91,ok
1200,3,400,gpt2,106953.97,ok
1300,3,433,gpt2,112508.85,ok
1400,3,466,gpt2,116882.49,ok
1500,3,500,gpt2,119983.84,ok
1600,3,533,gpt2,123252.51,ok
1700,3,566,gpt2,125887.14,ok
2800,3,600,gpt2,128572.70,ok
800,4,200,gpt2,61961.97,ok
900,4,225,gpt2,80424.42,ok
1000,4,250,gpt2,93129.89,ok
1100,4,275,gpt2,107508.49,ok
1200,4,300,gpt2,116968.91,ok
1300,4,325,gpt2,119062.95,ok
1400,4,350,gpt2,130146.94,ok
1500,4,375,gpt2,129536.68,ok
1600,4,400,gpt2,134879.13,ok
1700,4,425,gpt2,142216.23,ok
2800,4,450,gpt2,146109.96,ok
2800,1,700,gpt2,45631.36,ok
2800,2,700,gpt2,87258.81,ok
2800,3,700,gpt2,124924.38,ok
2800,4,700,gpt2,158548.41,ok
