Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W)
0.20011162757873535,375.0,0.0,0.0,0.0,0.0,105
1.0138299465179443,345.0,0.0,0.0,0.0,0.0,82
1.8255698680877686,345.0,0.0,0.0,0.0,0.0,82
2.6374220848083496,345.0,0.0,0.0,0.0,0.0,81
3.7880265712738037,345.0,0.0,0.0,0.0,0.0,81
4.9436609745025635,345.0,0.0,0.0,0.0,0.0,81
6.009020090103149,345.0,0.0,0.0,0.0,0.0,81
6.821357488632202,1980.0,0.0,0.0,0.0,0.0,97
7.632572412490845,1980.0,0.0,0.0,0.0,0.0,141
8.444151878356934,1980.0,0.0,0.0,0.0,0.0,141
9.254992246627808,1980.0,0.0,0.0,0.0,0.0,141
10.0665922164917,1980.0,0.0,0.0,0.0,0.0,141
10.878249883651733,1980.0,0.233,0.0,0.293,0.0,335
11.6912202835083,1980.0,0.228,0.0,0.293,0.0,473
12.502557277679443,1980.0,0.232,0.0,0.293,0.0,483
13.313357830047607,1980.0,0.237,0.0,0.289,0.0,486
14.123646974563599,1980.0,0.236,0.0,0.286,0.0,485
14.933495044708252,1980.0,0.236,0.0,0.286,0.0,485
15.743190050125122,1980.0,0.237,0.0,0.289,0.0,486
16.552907705307007,1980.0,0.188,0.0,0.222,0.0,461
17.36278200149536,1980.0,0.227,0.0,0.29,0.0,480
18.172106981277466,1980.0,0.232,0.0,0.282,0.0,482
18.98192548751831,1980.0,0.232,0.0,0.285,0.0,487
19.791898727416992,1980.0,0.227,0.0,0.291,0.0,484
20.60183548927307,1980.0,0.235,0.0,0.281,0.0,484
21.411197662353516,1980.0,0.227,0.0,0.291,0.0,484
22.220874309539795,1980.0,0.231,0.0,0.283,0.0,465
23.031328439712524,1980.0,0.235,0.0,0.282,0.0,467
23.84153461456299,1980.0,0.227,0.0,0.289,0.0,483
24.65179204940796,1980.0,0.231,0.0,0.286,0.0,481
25.46157717704773,1980.0,0.235,0.0,0.284,0.0,483
26.271406173706055,1980.0,0.227,0.0,0.291,0.0,480
27.081126928329468,1980.0,0.233,0.0,0.285,0.0,481
27.89071249961853,1980.0,0.236,0.0,0.283,0.0,486
28.701040267944336,1980.0,0.0,0.0,0.0,0.0,279
