Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W)
0.20009779930114746,480.0,0.002,0.0,0.0,0.0,130
1.4459662437438965,840.0,0.0,0.0,0.0,0.0,85
2.6667227745056152,1980.0,0.0,0.0,0.0,0.0,108
3.478475332260132,1980.0,0.815,0.0,0.002,0.103,497
4.287916898727417,1980.0,0.816,0.0,0.002,0.104,577
5.097063064575195,1980.0,0.816,0.0,0.002,0.102,579
5.9061877727508545,1980.0,0.817,0.0,0.002,0.104,580
6.71515417098999,1980.0,0.82,0.0,0.002,0.102,581
7.524793863296509,1980.0,0.816,0.0,0.002,0.104,582
8.33392071723938,1980.0,0.816,0.0,0.002,0.104,581
9.143174648284912,1980.0,0.815,0.0,0.002,0.104,584
9.952665328979492,1980.0,0.817,0.0,0.002,0.104,583
10.762378215789795,1980.0,0.818,0.0,0.002,0.101,583
11.571414709091187,1980.0,0.816,0.0,0.002,0.104,585
12.381050825119019,1980.0,0.82,0.0,0.002,0.102,586
13.190540313720703,1980.0,0.816,0.0,0.002,0.103,586
13.999233961105347,1980.0,0.816,0.0,0.002,0.104,586
14.808194875717163,1980.0,0.815,0.0,0.002,0.103,587
15.617204666137695,1980.0,0.817,0.0,0.002,0.103,587
16.426403522491455,1980.0,0.82,0.0,0.002,0.101,589
17.235562562942505,1980.0,0.817,0.0,0.002,0.104,588
18.045082330703735,1980.0,0.818,0.0,0.002,0.103,588
18.854340076446533,1980.0,0.816,0.0,0.002,0.103,587
19.663490295410156,1980.0,0.817,0.0,0.002,0.104,587
20.4726722240448,1980.0,0.816,0.0,0.002,0.103,588
21.281601905822754,1980.0,0.817,0.0,0.002,0.104,589
22.09075164794922,1980.0,0.82,0.0,0.002,0.101,589
22.90098762512207,1980.0,0.817,0.0,0.002,0.104,589
23.710354328155518,1980.0,0.817,0.0,0.002,0.104,590
24.51986002922058,1980.0,0.817,0.0,0.002,0.103,591
25.32899498939514,1980.0,0.817,0.0,0.002,0.104,589
26.13906764984131,1980.0,0.816,0.0,0.002,0.103,590
26.948137760162354,1980.0,0.817,0.0,0.002,0.103,590
27.75725507736206,1980.0,0.818,0.0,0.002,0.102,590
28.566436290740967,1980.0,0.817,0.0,0.002,0.103,590
29.375661373138428,1980.0,0.821,0.0,0.002,0.101,590
30.184843063354492,1980.0,0.816,0.0,0.002,0.104,592
30.99406862258911,1980.0,0.818,0.0,0.002,0.103,594
31.802767276763916,1980.0,0.817,0.0,0.002,0.103,591
32.61188006401062,1980.0,0.817,0.0,0.002,0.103,593
33.42109799385071,1980.0,0.816,0.0,0.002,0.103,592
34.22957158088684,1980.0,0.821,0.0,0.002,0.103,593
35.03881645202637,1980.0,0.82,0.0,0.002,0.101,591
35.847771883010864,1980.0,0.818,0.0,0.002,0.103,591
36.65696859359741,1980.0,0.821,0.0,0.002,0.101,592
