Time (s),GPU0_SM_Clock (MHz),GPU0_DRAM_Active,GPU0_FP16_Active,GPU0_FP32_Active,GPU0_FP64_Active,GPU0_Power (W),GPU1_SM_Clock (MHz),GPU1_DRAM_Active,GPU1_FP16_Active,GPU1_FP32_Active,GPU1_FP64_Active,GPU1_Power (W),GPU2_SM_Clock (MHz),GPU2_DRAM_Active,GPU2_FP16_Active,GPU2_FP32_Active,GPU2_FP64_Active,GPU2_Power (W)
0.20010089874267578,1980.0,0.0,0.0,0.0,0.0,145,345.0,0.0,0.0,0.0,0.0,80,1980.0,0.0,0.0,0.0,0.0,114
1.6969943046569824,345.0,0.0,0.0,0.0,0.0,81,345.0,0.0,0.0,0.0,0.0,70,345.0,0.0,0.0,0.0,0.0,68
2.7203457355499268,345.0,0.0,0.0,0.0,0.0,81,870.0,0.0,0.0,0.0,0.0,73,345.0,0.0,0.0,0.0,0.0,68
4.101194143295288,1980.0,0.0,0.0,0.0,0.0,122,1980.0,0.0,0.0,0.0,0.0,103,1980.0,0.0,0.0,0.0,0.0,99
4.911442756652832,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,109
5.720731973648071,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,109
6.5300257205963135,1980.0,0.0,0.0,0.0,0.0,139,1980.0,0.0,0.0,0.0,0.0,113,1980.0,0.0,0.0,0.0,0.0,109
7.340404272079468,1980.0,0.116,0.0,0.0,0.16,229,1980.0,0.139,0.0,0.0,0.192,208,1980.0,0.137,0.0,0.0,0.189,199
8.149475336074829,1980.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.192,293,1980.0,0.139,0.0,0.0,0.192,285
8.95845651626587,1980.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,293,1980.0,0.138,0.0,0.0,0.191,285
9.767196416854858,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.192,294,1980.0,0.139,0.0,0.0,0.192,285
10.575933456420898,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.192,294,1980.0,0.139,0.0,0.0,0.191,286
11.384884119033813,1980.0,0.139,0.0,0.0,0.192,332,1980.0,0.138,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,287
12.193859338760376,1965.0,0.139,0.0,0.0,0.192,331,1980.0,0.139,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,287
13.002878189086914,1965.0,0.139,0.0,0.0,0.192,331,1980.0,0.139,0.0,0.0,0.192,294,1980.0,0.139,0.0,0.0,0.191,287
13.81182599067688,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,287
14.620304584503174,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,287
15.428783416748047,1950.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,286
16.237614631652832,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,295,1980.0,0.138,0.0,0.0,0.191,287
17.046329975128174,1965.0,0.139,0.0,0.0,0.192,332,1980.0,0.138,0.0,0.0,0.191,295,1980.0,0.138,0.0,0.0,0.191,287
17.855740785598755,1965.0,0.139,0.0,0.0,0.192,331,1980.0,0.138,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.19,286
18.664233446121216,1965.0,0.138,0.0,0.0,0.192,331,1980.0,0.138,0.0,0.0,0.191,294,1980.0,0.138,0.0,0.0,0.191,287
19.472658395767212,1950.0,0.138,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,295,1980.0,0.138,0.0,0.0,0.191,287
20.281370878219604,1965.0,0.138,0.0,0.0,0.192,332,1980.0,0.138,0.0,0.0,0.191,296,1980.0,0.138,0.0,0.0,0.191,287
21.090193510055542,1950.0,0.139,0.0,0.0,0.192,332,1980.0,0.139,0.0,0.0,0.191,297,1980.0,0.138,0.0,0.0,0.191,288
21.900346994400024,1980.0,0.0,0.0,0.0,0.0,230,1980.0,0.009,0.0,0.0,0.012,205,1980.0,0.001,0.0,0.0,0.0,184
