power_cap,gpu_count,runtime_seconds
400,1,61.87868285179138
400,2,83.40246057510376
500,1,56.97382712364197
500,2,81.83719611167908
600,1,57.77231311798096
600,2,82.64520049095154
600,3,83.7362928390503
700,1,56.96370053291321
700,2,82.60446190834045
700,3,83.21372246742249
800,1,56.97070646286011
800,2,80.96723365783691
800,3,83.84541845321655
800,4,82.5132303237915
900,1,57.004642963409424
900,2,82.61369776725769
900,3,83.76441478729248
900,4,81.46446990966797
1000,1,57.00330901145935
1000,2,82.5699896812439
1000,3,84.93257474899292
1000,4,83.91314196586609
1100,1,57.096351146698
1100,2,81.76960563659668
1100,3,84.08663845062256
1100,4,83.14427471160889
1200,1,57.903794288635254
1200,2,81.77803254127502
1200,3,84.1558141708374
1200,4,81.17662167549133
1300,1,57.77980422973633
1300,2,81.75252890586853
1300,3,83.78230452537537
1300,4,81.06135845184326
1400,1,57.77836775779724
1400,2,80.95784306526184
1400,3,83.78091287612915
1400,4,81.4012668132782
1500,1,57.829399824142456
1500,2,81.77755641937256
1500,3,84.03090453147888
1500,4,80.67308020591736
1600,1,57.76711964607239
1600,2,82.58483481407166
1600,3,83.5715925693512
1600,4,82.21929574012756
1700,1,57.04354977607727
1700,2,82.58074426651001
1700,3,82.46538853645325
1700,4,81.1504271030426
1800,1,57.00644087791443
1800,2,81.99695324897766
1800,3,84.09209537506104
1800,4,83.89438462257385
