total_gpu_cap,gpu_count,per_gpu_cap,benchmark,throughput_tokens_per_sec,status
2800,1,700,gpt2,18069.08,failed
2800,2,700,gpt2,35336.26,failed
2800,3,700,gpt2,50503.38,failed
2800,4,700,gpt2,65660.08,failed
