power_cap,gpu_count,runtime_seconds
400,1,141.4964280128479
500,1,141.61034393310547
600,1,141.44719123840332
700,1,141.24513578414917
800,1,142.21859788894653
900,1,141.4889657497406
1000,1,142.2802505493164
1100,1,142.2261517047882
1200,1,141.4612648487091
1300,1,141.28814959526062
1400,1,141.45265173912048
1500,1,141.4762110710144
1600,1,141.62098693847656
1700,1,141.46790432929993
1800,1,141.47132110595703
400,2,77.51196837425232
500,2,77.80658435821533
600,2,77.52515625953674
700,2,78.33774328231812
800,2,77.56552243232727
900,2,77.53353428840637
1000,2,77.51779317855835
1100,2,78.11382246017456
1200,2,77.5485942363739
1300,2,77.80357265472412
1400,2,77.50189113616943
1500,2,77.54285740852356
1600,2,77.59665846824646
1700,2,77.6453287601471
1800,2,77.90624284744263
600,3,57.61263704299927
700,3,57.513213872909546
800,3,57.47333288192749
900,3,57.5791540145874
1000,3,57.549471378326416
1100,3,58.25810956954956
1200,3,58.01569366455078
1300,3,57.83168864250183
1400,3,57.594900608062744
1500,3,58.14055275917053
1600,3,57.56602740287781
1700,3,57.53776454925537
1800,3,58.13012886047363
800,4,44.60114765167236
900,4,44.13329720497131
1000,4,44.58450961112976
1100,4,44.65441298484802
1200,4,44.566826581954956
1300,4,44.56101751327515
1400,4,44.2475049495697
1500,4,44.30831217765808
1600,4,44.12111735343933
1700,4,44.61061429977417
1800,4,44.29600524902344
