power_cap,gpu_count,target,target_kind,avg_power_active,avg_sm_active,avg_dram_active,avg_power_x_gpu,avg_sm_x_gpu,avg_dram_x_gpu
800,1,142.21859788894653,runtime,166.0,1980.0,0.028285714285714286,166.0,1980.0,0.028285714285714286
800,2,77.56552243232727,runtime,150.0,1980.0,0.023999999999999997,300.0,3960.0,0.047999999999999994
800,3,57.47333288192749,runtime,140.85714285714286,1980.0,0.02176190476190476,422.57142857142856,5940.0,0.06528571428571428
800,4,44.60114765167236,runtime,141.25,1980.0,0.022964285714285708,565.0,7920.0,0.09185714285714283
900,1,141.4889657497406,runtime,165.85714285714286,1980.0,0.028714285714285716,165.85714285714286,1980.0,0.028714285714285716
900,2,77.53353428840637,runtime,150.07142857142856,1980.0,0.023999999999999997,300.1428571428571,3960.0,0.047999999999999994
900,3,57.5791540145874,runtime,141.57142857142858,1980.0,0.02214285714285714,424.7142857142858,5940.0,0.06642857142857142
900,4,44.13329720497131,runtime,140.21428571428572,1980.0,0.022035714285714283,560.8571428571429,7920.0,0.08814285714285713
1000,1,142.2802505493164,runtime,165.85714285714286,1980.0,0.028,165.85714285714286,1980.0,0.028
1000,2,77.51779317855835,runtime,150.0,1980.0,0.023928571428571424,300.0,3960.0,0.04785714285714285
1000,3,57.549471378326416,runtime,141.09523809523807,1980.0,0.02228571428571428,423.2857142857142,5940.0,0.06685714285714284
1000,4,44.58450961112976,runtime,139.0,1980.0,0.02014285714285714,556.0,7920.0,0.08057142857142856
1200,1,141.4612648487091,runtime,165.85714285714286,1980.0,0.02885714285714286,165.85714285714286,1980.0,0.02885714285714286
1200,2,77.5485942363739,runtime,150.14285714285714,1980.0,0.02407142857142857,300.2857142857143,3960.0,0.04814285714285714
1200,3,58.01569366455078,runtime,140.14285714285714,1980.0,0.018238095238095237,420.42857142857144,5940.0,0.054714285714285715
1200,4,44.566826581954956,runtime,139.17857142857144,1980.0,0.020785714285714286,556.7142857142858,7920.0,0.08314285714285714
1400,1,141.45265173912048,runtime,165.85714285714286,1980.0,0.028714285714285716,165.85714285714286,1980.0,0.028714285714285716
1400,2,77.50189113616943,runtime,149.85714285714286,1980.0,0.023999999999999997,299.7142857142857,3960.0,0.047999999999999994
1400,3,57.594900608062744,runtime,141.33333333333334,1980.0,0.022238095238095234,424.0,5940.0,0.0667142857142857
1400,4,44.2475049495697,runtime,140.2142857142857,1980.0,0.02225,560.8571428571428,7920.0,0.089
1600,1,141.62098693847656,runtime,165.71428571428572,1980.0,0.02885714285714286,165.71428571428572,1980.0,0.02885714285714286
1600,2,77.59665846824646,runtime,149.92857142857144,1980.0,0.02364285714285714,299.8571428571429,3960.0,0.04728571428571428
1600,3,57.56602740287781,runtime,141.61904761904762,1980.0,0.02228571428571428,424.8571428571429,5940.0,0.06685714285714284
1600,4,44.12111735343933,runtime,140.39285714285714,1980.0,0.022107142857142853,561.5714285714286,7920.0,0.08842857142857141
