power_cap,gpu_count,runtime_seconds
400,1,137.60955905914307
500,1,133.82051348686218
600,1,134.68178939819336
700,1,134.61285591125488
800,1,134.77691841125488
900,1,137.1984944343567
1000,1,136.3102684020996
1100,1,134.64241313934326
1200,1,135.72371625900269
1300,1,136.21139335632324
1400,1,136.45356631278992
1500,1,133.87002301216125
1600,1,134.88231825828552
1700,1,134.89935898780823
1800,1,133.87157726287842
400,2,111.60721039772034
500,2,111.80856728553772
600,2,110.84646654129028
700,2,111.5386106967926
800,2,109.93464016914368
900,2,110.81443858146667
1000,2,110.9148120880127
1100,2,110.21806907653809
1200,2,111.57596707344055
1300,2,111.11339092254639
1400,2,111.6471779346466
1500,2,110.86488747596741
1600,2,110.02977681159973
1700,2,110.0178062915802
1800,2,110.09366226196289
600,3,103.16205620765686
700,3,102.89351105690002
800,3,103.8747763633728
900,3,102.9398124217987
1000,3,104.8364942073822
1100,3,105.45854234695435
1200,3,103.8604485988617
1300,3,104.51892495155334
1400,3,103.91142439842224
1500,3,105.55966830253601
1600,3,104.59110641479492
1700,3,103.99711441993713
1800,3,105.07698893547058
800,4,103.60191941261292
900,4,104.28449940681458
1000,4,104.4767701625824
1100,4,104.16218376159668
1200,4,104.71818113327026
1300,4,105.4217038154602
1400,4,104.45261693000793
1500,4,103.55122685432434
1600,4,103.84789991378784
1700,4,103.33116674423218
1800,4,103.47948932647705
